Titre,Entreprise,Lien,Description,Autres
Responsable Administratif et Financier - Korhogo,ASSOCIATION LA VOUTE NUBIENNE,https://www.emploi.ci/offre-emploi-cote-ivoire/responsable-administratif-financier-korhogo-1480969,"L'Association la Voûte Nubienne (AVN) est une organisation de solidarité internationale à but non lucratif qui s'emploie depuis 2000 à diffuser largement la technique de construction de la Voûte Nubienne (VN) en Afrique de l'Ouest . Sa mission est de permettre l'accès à une architecture durable de qualité, pour le plus grand nombre et le plus rapidement possible. Le programme d’AVN est déployé, jusqu’à présent, dans cinq pays : Burkina Faso, Mali, Sénégal, Bénin et Ghana. Il a déjà permis la réalisation de 7 000 chantiers de bâtiments privés et communautaires, au bénéfice de plus de 70 000 bénéficiaires directs, la formation de plus de 1 400 maçons, générant plus de 4 milliards de Francs CFA en...
+plus","Niveau d´études requis : Bac+3, Bac+4 & Bac+5 et plus; Niveau d'expérience : Expérience entre 2 ans et 5 ans et plus; Contrat proposé : CDD; Région de : Korhogo; Compétences clés : Comptabilité - Finance - Gestion"
Chefs Chantier Ouvrage d´Art - Abidjan,GRB,https://www.emploi.ci/offre-emploi-cote-ivoire/chefs-chantier-ouvrage-art-abidjan-1480479,"Nous sommes à la recherche des  Chefs Chantier Ouvrage d'Art. Missions : Assure la signalétique et le balisage du chantier Organise les tâches et les équipes Établit et suit un planning Prévoit et anticipe les besoins matériels et humains à + 48h et à+ 5 jours Est le chef d'orchestre et assure un bon rendement du chantier Représente l'entreprise auprès des différents interlocuteurs S'assure de la qualité des travaux réalisés Fait respecter les consignes sécurité et qualité Renseigne les différents documents nécessaires à la gestion du chantier Est à l'écoute du client dans le respect des procédures internes Établit , signe les rapports journaliers  Établit les comptes flash des...
+plus","Niveau d´études requis : Bac+3, Bac+4 & Bac+5 et plus; Niveau d'expérience : Expérience entre 5 ans et 10 ans & Expérience > 10 ans; Contrat proposé : CDD; Région de : Abidjan; Compétences clés : Construction - Construction d'Ouvrages - Construction Métallique - Gestion du Chantier"
Commerciaux Terrain - Abidjan,BAYANNO SERVICES,https://www.emploi.ci/offre-emploi-cote-ivoire/commerciaux-terrain-abidjan-1480109,"Nous avons besoin des Commerciaux Terrain. Missions : La vente d'essences de parfum dans les communes d'Abidjan sud précisément. 
+plus","Niveau d´études requis : Qualification avant bac & Bac; Niveau d'expérience : Etudiant, jeune diplômé; Contrat proposé : CDI & CDD; Région de : Abidjan; Compétences clés : Animation Commerciale - Vente"
Commercial B2B - Abidjan,GENUKA,https://www.emploi.ci/offre-emploi-cote-ivoire/commercial-b2b-abidjan-1479384,"Nous sommes à la recherche des Commerciaux B2B. Missions : Prospection : Identifier de nouveaux clients potentiels, établir une relation commerciale et prendre rendez-vous. Négociation commerciale : Négocier les conditions de vente, les prix et les contrats. Vente : Présenter les produits ou services de l'entreprise, répondre aux objections et conclure les ventes. Fidélisation : Assurer un suivi régulier des clients existants, gérer leurs demandes et les inciter à renouveler leurs achats. Reporting : Analyser les résultats de ses activités et rendre compte à sa hiérarchie.
+plus","Niveau d´études requis : Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus; Niveau d'expérience : Etudiant, jeune diplômé et plus; Contrat proposé : CDI; Région de : Abidjan; Compétences clés : Gestion des Ventes - Négociation - Négociation Commerciale - Prospection - Vente"
Commercial - Abidjan,DSTOK,https://www.emploi.ci/offre-emploi-cote-ivoire/commercial-abidjan-1478215,"Nous sommes à la recherche des Commerciaux. Missions: Développer l'image de la plateforme en fesant des prospects auprès de particuliers et professionnels de la vente Organiser et optimiser vos tournées de clientèle Convaincre  les vendeurs de rejoindre la plateforme  Suivre et coatcher ces vendeurs pour qu'ils puissent entretenir leur compte régulièrement  Dynamiser les inscriptions et publications grâce à votre suivi rigoureux des vendeurs et des prospects Élaborer des reportings précis et réguliers pour la Direction marketing
+plus","Niveau d´études requis : Qualification avant bac, Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus; Niveau d'expérience : Etudiant, jeune diplômé et plus; Contrat proposé : CDD, Freelance & Temps partiel; Région de : Abidjan; Compétences clés : Management - Marketing - Vente"
Développeur d´Application Web et Mobile - Abidjan,SIMPLE THREE,https://www.emploi.ci/offre-emploi-cote-ivoire/developpeur-application-web-mobile-abidjan-1477650,"L'équipe SIMPLE THREE recrute un Stagiaire Développeur d'Application Web et Mobile pour intégrer son équipe. Missions : Concevoir et développer des applications web évolutives et sécurisées. Collaborer avec notre équipe pour définir les besoins et les spécifications du projet. Assurer la maintenance et l'optimisation des applications existantes. Appliquer les meilleures pratiques en matière de développement pour garantir des performances élevées et une fiabilité accrue.
+plus","Niveau d´études requis : Bac+2, Bac+3, Bac+4 & Bac+5 et plus; Niveau d'expérience : Débutant < 2 ans et plus; Contrat proposé : CDD, Stage, Freelance & Temps partiel; Région de : Abidjan; Compétences clés : CMS - CODEIGNITER - CSS - HTML - IONIC - JAVASCRIPT - LARAVEL - MYSQL - NODE JS - NOSQL - PRESTASHOP - PYTHON - REACT - SQL - SWIFT - SYMFONY - WORDPRESS - XAMARIN"
Office Manager - Abidjan,FONDATION JEUNESSE NUMÉRIQUE,https://www.emploi.ci/offre-emploi-cote-ivoire/office-manager-abidjan-1477544,"Dans le cadre de la mise en place du pilote du Hub Ivoire Tech (HIT),  qui a pour ambition de créer le plus grand campus de startups et le meilleur écosystème entrepreneurial sous régional. La Fondation Jeunesse Numérique recherche actuellement un(e)  Office Manager  pour rejoindre son équipe. Missions : Rattaché à la Direction Exécutive de la Fondation Jeunesse Numérique, l’Office Manager occupe un poste polyvalent. Il est principalement en charge de (i)la gestion financière & administrative, (ii)la définition de l'offre de service, (iii)du recrutement, (iv)et l’arbitrage des priorités.  Il est le responsable de l'organisation et de l’atteinte des objectifs fixés au...
+plus",Niveau d´études requis : Bac+4 & Bac+5 et plus; Niveau d'expérience : Expérience entre 2 ans et 5 ans et plus; Contrat proposé : CDI; Région de : Abidjan; Compétences clés : Communication - Comptabilité - Dossiers Administratifs - Finance - Financement - Gestion - Gestion des Factures - Gestion Financière - Leadership - Management - Management d'Entreprise - Marketing - Rapports Financiers - Stratégie - Stratégie de Communication
Technicien en Électricité - Cocody,ENERG&TICS,https://www.emploi.ci/offre-emploi-cote-ivoire/technicien-electricite-cocody-1477062,"Entreprise exerçant principalement dans l'énergie, recrute un Technicien en Électricité. Mission : Effectuer des interventions sur site
+plus","Niveau d´études requis : Bac, Bac+1 & Bac+2; Niveau d'expérience : Etudiant, jeune diplômé & Débutant < 2 ans; Contrat proposé : Stage; Région de : Abidjan; Compétences clés : Production - Qualité"
Commercial Terrain H/F - Abidjan,TOP TÉLÉCOM SERVICES,https://www.emploi.ci/offre-emploi-cote-ivoire/commercial-terrain-hf-abidjan-1477177,"Nous recherchons plusieurs Commerciaux Terrain H/F dynamiques et motivés pour renforcer notre équipe de vente. Mission : Responsables du recrutement clients sur des zones géographiques définis.
+plus","Niveau d´études requis : Qualification avant bac, Bac, Bac+1 & Bac+2; Niveau d'expérience : Etudiant, jeune diplômé et plus; Contrat proposé : Freelance & Alternance; Région de : Abidjan; Compétences clés : Animation des Ventes - Négociation - Vente"
Directeur( Trice) des Opérations - Lomé,AFRICA CONSULTING LEADERS (ACL),https://www.emploi.ci/offre-emploi-cote-ivoire/directeur-trice-operations-lome-1499981,"Dans le cadre de notre développement, nous recherchons un(e ) Directeur( trice ) des Opérations. Nous connaitre Africa Consulting Leaders (ACL) est un opérateur de plateformes technologiques qui accompagne ses clients dans ses projets. Nous cumulons près de 30 ans d'expérience et fournissons aux ports et aux acteurs de la chaine logistique de transport des solutions digitales des plateformes métiers en environnement web associés à des outils FINTEC pour des services de paiement en ligne via des canaux de banque et mobile money. Nous accompagnons nos clients dans leurs activités en garantissant la permanence des services et la proximité à travers notre présence dans toute la sous-région....
+plus",Niveau d´études requis : Bac+5 et plus; Niveau d'expérience : Expérience entre 5 ans et 10 ans - Expérience > 10 ans; Contrat proposé : CDI - CDD; Région de : Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...; Compétences clés : Gestion - Gestion d'Équipe - Leadership - Management
