Titre,Entreprise,Lien,Description,Autres
REACT Developer (M/F),AFRICASHORE,https://www.emploi.ci/offre-emploi-cote-ivoire/react-developer-mf-1386353,"We are looking for REACT Developer profiles / CVs to pass on to our clients for their future recruitment campaigns.   Mission:   Responsible for requirement analysis, Design and Development of modules. Using React and Redux, design and develop user interface components for JavaScript-based online and mobile apps. Develop new user-facing features. Build reusable code and libraries for future use. Ensure the technical feasibility of UI/UX designs. Writing application interface codes using JavaScript following react.js workflows. Review code, elicit requirements and design specifications. Prepares the deployment documents and deploys the code. Reports status to Project management...
+plus","Niveau d´études requis : Bac+3; Niveau d'expérience : Expérience entre 5 ans et 10 ans; Contrat proposé : CDI, CDD - Freelance; Région de : Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...; Compétences clés : BOOTSTRAP - CSS - CVS - GIT - JAVA - JAVASCRIPT - JQUERY - LESS - REACT"
RUBY ON RAILS Developer (M/F),AFRICASHORE,https://www.emploi.ci/offre-emploi-cote-ivoire/ruby-on-rails-developer-mf-1386354,"We are looking for RUBY ON RAILS Developer profiles / CVs to pass on to our clients for their future recruitment campaigns.   Mission:   Providing enhancements to the application platform with specific emphasis on sound fundamental development methodology in Ruby on Rails. Design and develop responsive, high performing web applications using modern techniques and frameworks as well as write tests and perform code reviews in a dynamic, fast paced agile environment. Maintain responsibility for analysis of Incident Tickets & Resolution, supply to Continual Service Improvement Programs. Writte and maintain reliable Ruby code. Integrating user-facing elements designed by the front-end team...
+plus","Niveau d´études requis : Bac+3; Niveau d'expérience : Expérience entre 5 ans et 10 ans; Contrat proposé : CDI, CDD - Freelance; Région de : Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...; Compétences clés : AGILE - CSS - CVS - DOCKER - GIT - HTML - JAVASCRIPT - JIRA - JQUERY - MONGODB - MYSQL - POSTGRESQL - RUBY ON RAILS"
SWIFT Developer (M/F),AFRICASHORE,https://www.emploi.ci/offre-emploi-cote-ivoire/swift-developer-mf-1386355,"We are looking for SWIFT Developer profiles / CVs to pass on to our clients for their future recruitment campaigns.   Mission:   We are looking for an iOS/Swift developer responsible for the development and maintenance of applications aimed towards iOS and OS X, including mobile phones, tablets, and full. Plan, design and build advanced and build secure applications for iOS and OS X platform. Monitor the performance, quality, and responsiveness of company s applications. Work with the rest of the team to define, design, and develop new features. Find and fix bugs in a timely manner. Worked in Agile / SCRUM Methodology. Help maintain high-level code quality, organization and...
+plus","Niveau d´études requis : Bac+3; Niveau d'expérience : Expérience entre 5 ans et 10 ans; Contrat proposé : CDI, CDD - Freelance; Région de : Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...; Compétences clés : AGILE - CVS - GIT - MERCURIAL - REST - SCRUM - SWIFT"
Test and Validation Engineer (M/F),AFRICASHORE,https://www.emploi.ci/offre-emploi-cote-ivoire/test-validation-engineer-mf-1386356,"We are looking for Test and Validation Engineer profiles / CVs to pass on to our clients for their future recruitment campaigns.   Mission:   Develop and apply design verification and validation protocols based on system requirements and approved procedures and standards (ISO, IEC and FDA). Identify tasks required to complete projects in accordance with Design Control procedures. Propose technical solutions and associated schedules to complete projects on time. Design and build test benches; follow up maintenance and calibration. Create, analyse and summarise documentation of verification and validation results for internal reviews and regulatory submissions. Supervise and perform...
+plus","Niveau d´études requis : Bac+3; Niveau d'expérience : Expérience entre 5 ans et 10 ans; Contrat proposé : CDI, CDD - Freelance; Région de : Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...; Compétences clés : CVS - RHEL - SUSE"
Test Automation Engineer (M/F),AFRICASHORE,https://www.emploi.ci/offre-emploi-cote-ivoire/test-automation-engineer-mf-1386357,"We are looking for Test Automation Engineer profiles / CVs to pass on to our clients for their future recruitment campaigns.   Mission:   Develop, maintain, and execute automation tests. Develop and maintain test automation architecture and frameworks. Write complex scripts in one or more programming languages. Ensure scalability of automation and Continuous Integration across the solution. Assist in analysis and piloting of best-in-class automation testing tools and propose commission and use to relevant stakeholders. Design and develop strategic automated tests while maintaining and enhancing frameworks and test tools. Reviews specifications to determine software engineering...
+plus","Niveau d´études requis : Bac+3; Niveau d'expérience : Expérience entre 5 ans et 10 ans; Contrat proposé : CDI, CDD - Freelance; Région de : Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...; Compétences clés : API - CVS - GIT - GITLAB - JAVASCRIPT - JENKINS - LINUX - MATRIX - MYSQL - ORACLE - PYTHON - SHELL - SQL"
UX / UI Designer (M/F),AFRICASHORE,https://www.emploi.ci/offre-emploi-cote-ivoire/ux-ui-designer-mf-1386358,"We are looking for UX / UI Designer profiles / CVs to pass on to our clients for their future recruitment campaigns.   Mission:   Design graphic user interface elements, like menus, tabs, and widgets. Be in proactive mode to instill new approaches in design. Produce and enhance wireframes, interactive prototypes, user flow diagrams, and other UI-UX design solutions for Desktop & Mobile products. Create visuals for the web (editing, photo, video, etc.). Develop UI mockups and prototypes that clearly illustrate how sites function and look like. Create mock-ups in accordance with the graphic charter of the brand or product. Design interfaces for web and mobile. Build page...
+plus","Niveau d´études requis : Bac+3; Niveau d'expérience : Expérience entre 5 ans et 10 ans; Contrat proposé : CDI, CDD - Freelance; Région de : Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...; Compétences clés : AJAX - BOOTSTRAP - CSS - CVS - GIT - HTML - ILLUSTRATOR - JAVASCRIPT - PHOTOSHOP"
AWS Cloud Architect (M/F),AFRICASHORE,https://www.emploi.ci/offre-emploi-cote-ivoire/aws-cloud-architect-mf-1386359,"We are looking for  AWS Cloud Architect  profiles / CVs to share with our clients for their future recruitment campaigns.   Mission:   Support and advise clients in the adoption and deployment of AWS services (IT Strategy, Opportunity Study, Audit, Framework and Roadmap). Design solution platforms integrating AWS reference services (Serverless Architecture, Analytics, IoT, EKS, ...) in Native Cloud and Hybrid Cloud contexts. Conduct research, tests, and execute new techniques which could be reused and applied to the project. Accountable for designing, building, and optimizing automation systems that help to execute business web and data infrastructure platforms.
+plus","Niveau d´études requis : Bac+3; Niveau d'expérience : Expérience entre 5 ans et 10 ans; Contrat proposé : CDI, CDD - Freelance; Région de : Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...; Compétences clés : AGILE - ALM - BASH - CVS - DNS - DOCKER - HTTP - IOT - JENKINS - LOAD BALANCING - PUPPET - PYTHON - REACT - SCRUM - SSL"
AWS Solutions Architect (M/F),AFRICASHORE,https://www.emploi.ci/offre-emploi-cote-ivoire/aws-solutions-architect-mf-1386360,"We are looking for  AWS Solutions Architect profiles / CVs to share with our clients for their future recruitment campaigns.   Mission:   Design a robust, secure and optimized AWS architecture to implement large scale enterprise data solutions and applications. Develop and deliver AWS Cloud solutions in areas such as AIML, advanced analytics, microservices, serverless, etc. Build highly scalable, Cloud-native applications on AWS platform using services like API Gateway, Lambda, SQS, DynamoDB and ECS. Implement and manage KuberNetes environments. Ensure configuration and compliance with configuration management tools. Administer and troubleshoot Linux based...
+plus","Niveau d´études requis : Bac+3; Niveau d'expérience : Expérience entre 5 ans et 10 ans; Contrat proposé : CDI, CDD - Freelance; Région de : Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...; Compétences clés : API - BIG DATA - CENTOS - CVS - DMS - DNS - DOCKER - HADOOP - HTTP - LINUX - RDS - SPARK - TALEND"
AZURE Solutions Architect (M/F),AFRICASHORE,https://www.emploi.ci/offre-emploi-cote-ivoire/azure-solutions-architect-mf-1386361,"We are looking for  AZURE Solutions Architect profiles / CVs to share with our clients for their future recruitment campaigns.   Mission:   Serve as in-house technical expert providing technical guidance on new features & functionalities, drive the deployment of the customers workloads into Azure and provide deployment guidance. Deliver Cloud platform architecture documents detailing the vision for how Azure infrastructure and platform services support the overall application architecture. Proven background in the design and implementation of large scale, global, complex custom application development systems (e.g., high transaction volumes). Experience problem solving...
+plus","Niveau d´études requis : Bac+3; Niveau d'expérience : Expérience entre 5 ans et 10 ans; Contrat proposé : CDI, CDD - Freelance; Région de : Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...; Compétences clés : ACCESS - AGILE - ARM - AZURE - COSMOS - CVS - PAAS - REDIS - SHELL - SQL"
Cloud Architect (M/F),AFRICASHORE,https://www.emploi.ci/offre-emploi-cote-ivoire/cloud-architect-mf-1386362,"We are looking for  Cloud Architect profiles / CVs to share with our clients for their future recruitment campaigns.   Mission:   Lead analysis, recommendations, and presentation of approaches on Cloud migration roadmaps, architecture / designs etc. Involve in conducting Azure readiness assessments and evaluations and delivery of assessment reports, architecture/design/ deployment documents & presentations. Architecting Cloud solutions for new applications. Design Cloud architectures, environments, and solutions that meet the business requirements with an emphasis on meeting the overall business goals. Design highly available, scalable and secure solutions using...
+plus","Niveau d´études requis : Bac+3; Niveau d'expérience : Expérience entre 5 ans et 10 ans; Contrat proposé : CDI, CDD - Freelance; Région de : Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...; Compétences clés : AGILE - API - ARM - AZURE - C# - COSMOS - CVS - LESS - NOSQL - PAAS - SQL - VM"
